DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
58:30.8,61000,950
58:35.1,61000,951
58:35.8,61000,951
58:40.1,61000,952
58:40.8,61000,952
58:45.1,61000,953
58:45.8,61000,953
58:50.1,61000,953
58:50.8,61000,954
58:55.1,61000,955
58:55.8,61000,955
59:00.1,61000,956
59:00.8,61000,956
59:05.1,61000,957
59:05.9,61000,957
59:10.1,61000,957
59:10.9,61000,958
59:15.1,61500,959
59:15.9,61500,958
59:20.1,61500,960
59:20.9,61500,960
59:25.1,61500,961
59:25.9,61500,960
59:30.1,61500,961
59:30.9,61500,961
59:35.1,61500,962
59:35.9,61500,962
59:40.1,61500,963
59:40.9,61500,963
59:45.2,61500,964
59:45.9,61500,964
59:50.2,61500,965
59:50.9,61500,965
59:55.2,61500,966
59:55.9,61500,966
00:00.2,61500,968
00:00.9,61500,968
00:05.2,62000,968
00:05.9,62000,968
00:10.2,62000,969
00:11.0,62000,969
00:15.2,62000,970
00:16.0,62000,970
00:20.2,62000,971
00:21.0,62000,971
00:25.2,62000,972
00:26.0,62000,972
00:30.2,62000,972
00:31.0,62000,972
00:35.2,62000,974
00:36.0,62000,974
00:40.2,62000,974
00:41.0,62000,974
00:45.2,62000,975
00:46.0,62000,975
00:50.3,62000,976
00:51.0,62000,976
00:55.3,62000,977
00:56.0,62000,977
01:00.3,62500,977
01:01.0,62500,978
01:05.3,62500,979
01:06.0,62500,979
01:10.3,62500,980
01:11.1,62500,979
01:15.3,62500,980
01:16.1,62500,980
01:20.3,62500,981
01:21.1,62500,981
01:25.3,62500,982
01:26.1,62500,982
01:30.3,62500,983
01:31.1,62500,983
01:35.4,62500,983
01:36.1,62500,983
01:40.3,62500,984
01:41.1,62500,984
01:45.4,62500,985
01:46.1,62500,985
01:50.4,62500,986
01:51.1,62500,986
01:55.4,62500,987
01:56.1,62500,987
02:00.4,62500,988
02:01.1,62500,988
02:05.4,62500,988
02:06.1,62500,988
02:10.4,63000,989
02:11.1,63000,989
02:15.4,63000,989
02:16.1,63000,989
02:20.4,63000,991
02:21.1,63000,991
02:25.4,63000,991
02:26.2,63000,991
02:30.4,63000,992
02:31.2,63000,992
02:35.4,63000,993
02:36.2,63000,993
02:40.4,63000,994
02:41.2,63000,994
